Year,Chamber,Quadrat,In_Out,CO2,Nitrogen,Treatment,Total_Height,Green_Height,Width
2006,1,3,1,1,1,4,113,104,4.1
2006,1,3,1,1,1,4,116,105,3.8
2006,1,3,1,1,1,4,129,121,3.6
2006,1,3,1,1,1,4,94,93,4.2
2006,1,3,1,1,1,4,110,89,3.5
2006,1,3,1,1,1,4,98,84,3.9
2006,1,3,1,1,1,4,126,122,3.8
2006,1,3,1,1,1,4,65,65,4
2006,1,3,1,1,1,4,101,100,4.6
2006,1,3,1,1,1,4,107,95,3.8
2006,1,3,1,1,1,4,118,105,4.1
2006,1,3,1,1,1,4,108,103,3.3
2006,1,3,1,1,1,4,115,105,4.2
2006,1,3,1,1,1,4,81,80,4.7
2006,1,3,1,1,1,4,115,105,4.1
2006,1,3,1,1,1,4,109,103,3.7
2006,1,3,1,1,1,4,111,110,4.8
2006,1,3,1,1,1,4,120,85,3.3
2006,1,3,1,1,1,4,105,101,3.4
2006,1,3,1,1,1,4,123,111,3.4
2006,1,3,1,1,1,4,98,79,3.4
2006,1,3,1,1,1,4,78,77,3.6
2006,1,3,1,1,1,4,134,133,5
2006,1,3,1,1,1,4,56,56,3.9
2006,1,3,1,1,1,4,89,60,2.3
2006,1,3,1,1,1,4,99,88,3.8
2006,1,3,1,1,1,4,104,95,3.6
2006,1,3,1,1,1,4,97,70,3.5
2006,1,3,1,1,1,4,115,79,4
2006,1,3,1,1,1,4,100,96,3.5
2006,1,3,1,1,1,4,106,100,3.8
2006,1,3,1,1,1,4,118,80,3.8
2006,1,3,1,1,1,4,92,75,3.9
2006,1,3,1,1,1,4,95,0,3
2006,1,3,1,1,1,4,76,70,3.8
2006,1,3,1,1,1,4,102,93,3
2006,1,3,1,1,1,4,83,75,3.6
2006,1,3,1,1,1,4,115,104,3.5
2006,1,3,1,1,1,4,75,75,4
2006,1,3,1,1,1,4,101,100,4.1
2006,1,3,1,1,1,4,100,96,3.6
2006,1,3,1,1,1,4,110,104,3.8
2006,1,3,1,1,1,4,122,104,3.7
2006,1,3,1,1,1,4,124,120,3.7
2006,1,3,1,1,1,4,109,100,3.1
2006,1,3,1,1,1,4,90,77,4.2
2006,1,3,1,1,1,4,83,82,4.2
2006,1,3,1,1,1,4,111,109,3.4
2006,1,3,1,1,1,4,114,107,3.3
2006,1,3,1,1,1,4,95,94,4.5
2006,1,3,1,1,1,4,86,84,4.2
2006,1,3,1,1,1,4,81,81,4.3
2006,1,4,1,1,1,4,119,111,4.5
2006,1,4,1,1,1,4,130,111,4.3
2006,1,4,1,1,1,4,119,111,4.4
2006,1,4,1,1,1,4,95,90,3.5
2006,1,4,1,1,1,4,108,83,3.6
2006,1,4,1,1,1,4,117,104,3.7
2006,1,4,1,1,1,4,123,120,4.1
2006,1,4,1,1,1,4,85,75,4
2006,1,4,1,1,1,4,119,108,3.4
2006,1,4,1,1,1,4,50,50,5.1
2006,1,4,1,1,1,4,57,57,4.3
2006,1,4,1,1,1,4,118,109,3.8
2006,1,4,1,1,1,4,101,99,4.9
2006,1,4,1,1,1,4,30,30,3.7
2006,1,4,1,1,1,4,105,104,5.1
2006,1,4,1,1,1,4,104,94,3.1
2006,1,4,1,1,1,4,113,111,5.9
2006,1,4,1,1,1,4,106,105,5.5
2006,1,4,1,1,1,4,106,95,2.9
2006,1,4,1,1,1,4,81,68,3.5
2006,1,4,1,1,1,4,105,100,4
2006,1,4,1,1,1,4,115,104,4.1
2006,1,4,1,1,1,4,99,98,5.2
2006,1,4,1,1,1,4,82,82,4.8
2006,1,4,1,1,1,4,115,105,3.4
2006,1,4,1,1,1,4,79,78,4.2
2006,1,4,1,1,1,4,126,118,4.3
2006,1,4,1,1,1,4,122,99,4.1
2006,1,4,1,1,1,4,133,130,4
2006,1,4,1,1,1,4,115,111,3.5
2006,1,4,1,1,1,4,74,73,4.4
2006,1,4,1,1,1,4,55,55,5.5
2006,1,4,1,1,1,4,35,35,5.8
2006,1,4,1,1,1,4,77,77,4.1
2006,1,4,1,1,1,4,55,55,5.4
2006,1,4,1,1,1,4,94,93,5.1
2006,1,4,1,1,1,4,111,109,3.6
2006,1,4,1,1,1,4,101,83,3.1
2006,1,4,1,1,1,4,105,99,3.7
2006,1,4,1,1,1,4,80,80,4.2
2006,1,4,1,1,1,4,121,109,4.6
2006,1,4,1,1,1,4,103,85,3.9
2006,1,4,1,1,1,4,100,91,2.7
2006,1,4,1,1,1,4,81,71,2
2006,1,4,1,1,1,4,118,113,3.7
2006,1,4,1,1,1,4,92,84,3.4
2006,1,4,1,1,1,4,81,72,2.2
2006,1,4,1,1,1,4,132,131,4.8
2006,1,4,1,1,1,4,77,54,3.3
2006,1,4,1,1,1,4,108,107,4.6
2006,1,4,1,1,1,4,48,48,4.5
2006,1,4,1,1,1,4,41,41,3.8
2006,1,4,1,1,1,4,121,116,3.6
2006,1,4,1,1,1,4,113,106,3.1
2006,1,4,1,1,1,4,137,133,3.6
2006,1,4,1,1,1,4,129,127,5.5
2006,1,4,1,1,1,4,117,113,3.8
2006,1,4,1,1,1,4,122,115,3.1
2006,1,4,1,1,1,4,110,110,4.7
2006,1,4,1,1,1,4,117,113,3.6
2006,1,4,1,1,1,4,90,90,4.9
2006,1,4,1,1,1,4,108,105,3
2006,1,4,1,1,1,4,119,114,3.2
2006,1,4,1,1,1,4,102,88,3.9
2006,1,4,1,1,1,4,80,80,4.7
2006,1,4,1,1,1,4,103,89,3.5
2006,1,4,1,1,1,4,107,95,3.3
2006,1,4,1,1,1,4,52,52,5
2006,1,4,1,1,1,4,47,47,2.5
2006,1,4,1,1,1,4,39,39,4.7
2006,1,5,1,1,1,4,130,126,4
2006,1,5,1,1,1,4,122,120,5.1
2006,1,5,1,1,1,4,116,114,5.6
2006,1,5,1,1,1,4,111,109,4.1
2006,1,5,1,1,1,4,119,114,3.9
2006,1,5,1,1,1,4,109,105,3.3
2006,1,5,1,1,1,4,124,116,4.3
2006,1,5,1,1,1,4,116,114,5.7
2006,1,5,1,1,1,4,89,89,5
2006,1,5,1,1,1,4,78,76,4.6
2006,1,5,1,1,1,4,104,95,3.1
2006,1,5,1,1,1,4,119,111,4.2
2006,1,5,1,1,1,4,103,103,4.8
2006,1,5,1,1,1,4,122,111,4
2006,1,5,1,1,1,4,124,120,4
2006,1,5,1,1,1,4,129,125,4.2
2006,1,5,1,1,1,4,125,117,3.6
2006,1,5,1,1,1,4,90,90,5.1
2006,1,5,1,1,1,4,115,99,4.8
2006,1,5,1,1,1,4,112,94,3.4
2006,1,5,1,1,1,4,110,103,3.9
2006,1,5,1,1,1,4,52,50,4.7
2006,1,5,1,1,1,4,44,44,4.4
2006,1,5,1,1,1,4,115,110,4.1
2006,1,5,1,1,1,4,107,98,3.6
2006,1,5,1,1,1,4,65,65,4.5
2006,1,5,1,1,1,4,65,64,4
2006,1,5,1,1,1,4,45,44,4.7
2006,1,5,1,1,1,4,75,63,3.4
2006,1,5,1,1,1,4,102,80,4
2006,1,5,1,1,1,4,123,114,3.7
2006,1,5,1,1,1,4,107,97,3.3
2006,1,5,1,1,1,4,121,115,3.3
2006,1,5,1,1,1,4,82,82,4.8
2006,1,5,1,1,1,4,116,112,4
2006,1,5,1,1,1,4,105,100,3.3
2006,1,5,1,1,1,4,121,117,4.6
2006,1,5,1,1,1,4,77,77,4.2
2006,1,5,1,1,1,4,54,53,4.2
2006,1,5,1,1,1,4,92,77,4.1
2006,1,5,1,1,1,4,130,126,4.4
2006,1,5,1,1,1,4,126,104,4.1
2006,1,5,1,1,1,4,118,107,3.8
2006,1,5,1,1,1,4,134,115,4.2
2006,1,5,1,1,1,4,106,96,3.9
2006,1,5,1,1,1,4,59,59,4.3
2006,1,5,1,1,1,4,56,55,4.6
2006,1,5,1,1,1,4,57,57,4.3
2006,1,6,1,1,1,4,95,72,2.6
2006,1,6,1,1,1,4,56,56,4
2006,1,6,1,1,1,4,52,51,5.2
2006,1,6,1,1,1,4,97,81,3.1
2006,1,6,1,1,1,4,121,88,3.1
2006,1,6,1,1,1,4,129,109,4
2006,1,6,1,1,1,4,122,100,3.4
2006,1,6,1,1,1,4,76,75,3.1
2006,1,6,1,1,1,4,122,100,3.4
2006,1,6,1,1,1,4,97,96,4.2
2006,1,6,1,1,1,4,127,105,3.5
2006,1,6,1,1,1,4,78,78,4.6
2006,1,6,1,1,1,4,116,103,2.9
2006,1,6,1,1,1,4,141,120,3.7
2006,1,6,1,1,1,4,48,48,4.3
2006,1,6,1,1,1,4,118,102,3.5
2006,1,6,1,1,1,4,87,87,5.2
2006,1,6,1,1,1,4,90,90,3.8
2006,1,6,1,1,1,4,122,117,3.7
2006,1,6,1,1,1,4,78,78,4.7
2006,1,6,1,1,1,4,94,70,3.8
2006,1,6,1,1,1,4,118,95,3.8
2006,1,6,1,1,1,4,84,75,2.9
2006,1,6,1,1,1,4,122,115,3.9
2006,1,6,1,1,1,4,105,99,3.8
2006,1,6,1,1,1,4,53,45,3.2
2006,1,6,1,1,1,4,85,84,4.9
2006,1,6,1,1,1,4,90,90,5
2006,1,6,1,1,1,4,115,93,4.2
2006,1,6,1,1,1,4,97,91,3.5
2006,1,6,1,1,1,4,94,77,4.2
2006,1,6,1,1,1,4,90,87,4.5
2006,1,6,1,1,1,4,103,98,3.5
2006,1,6,1,1,1,4,97,91,3.4
2006,1,6,1,1,1,4,115,94,4.1
2006,1,6,1,1,1,4,36,36,4.2
2006,1,6,1,1,1,4,41,40,4.3
2006,1,6,1,1,1,4,40,40,3.9
2006,1,6,1,1,1,4,107,101,4.5
2006,1,6,1,1,1,4,78,65,2.9
2006,1,6,1,1,1,4,114,105,4.3
2006,1,6,1,1,1,4,108,106,5.5
2006,1,6,1,1,1,4,78,65,3
2006,1,6,1,1,1,4,97,96,5
2006,1,6,1,1,1,4,95,91,3.4
2006,1,6,1,1,1,4,110,99,4
2006,1,6,1,1,1,4,108,106,5.1
2006,1,6,1,1,1,4,78,78,4
2006,1,6,1,1,1,4,108,106,5.2
2006,1,6,1,1,1,4,80,78,2.3
2006,1,6,1,1,1,4,74,74,4.3
2006,1,6,1,1,1,4,91,85,3.7
2006,1,7,0,1,1,4,44,44,4.7
2006,1,7,0,1,1,4,44,44,4.2
2006,1,7,0,1,1,4,125,115,4
2006,1,7,0,1,1,4,115,109,3.3
2006,1,7,0,1,1,4,69,66,4.3
2006,1,7,0,1,1,4,57,57,4
2006,1,7,0,1,1,4,91,85,3.1
2006,1,7,0,1,1,4,105,91,3.4
2006,1,7,0,1,1,4,103,97,3.4
2006,1,7,0,1,1,4,112,108,3.5
2006,1,7,0,1,1,4,114,104,3.4
2006,1,7,0,1,1,4,55,55,2.4
2006,1,7,0,1,1,4,111,103,3.5
2006,1,7,0,1,1,4,113,104,3.6
2006,1,7,0,1,1,4,103,94,4.2
2006,1,7,0,1,1,4,91,85,2.7
2006,1,7,0,1,1,4,64,64,4
2006,1,7,0,1,1,4,43,43,4.5
2006,1,7,0,1,1,4,47,47,3.7
2006,1,7,0,1,1,4,96,95,4.2
2006,1,7,0,1,1,4,86,86,4.9
2006,1,7,0,1,1,4,123,115,3.6
2006,1,7,0,1,1,4,72,72,4.5
2006,1,7,0,1,1,4,119,112,3.3
2006,1,7,0,1,1,4,85,63,3.1
2006,1,7,0,1,1,4,104,98,3.2
2006,1,7,0,1,1,4,90,84,3.3
2006,1,7,0,1,1,4,47,47,3.7
2006,1,7,0,1,1,4,39,39,3
2006,1,7,0,1,1,4,42,42,3.7
2006,1,7,0,1,1,4,92,92,5.1
2006,1,7,0,1,1,4,121,115,4.2
2006,1,7,0,1,1,4,98,86,3.8
2006,1,7,0,1,1,4,100,98,3.3
2006,1,7,0,1,1,4,67,56,4.1
2006,1,7,0,1,1,4,97,86,3.6
2006,1,7,0,1,1,4,117,110,3.2
2006,1,7,0,1,1,4,125,121,3.8
2006,1,7,0,1,1,4,111,106,3.4
2006,1,7,0,1,1,4,94,91,2.9
2006,1,7,0,1,1,4,88,87,4.5
2006,1,7,0,1,1,4,111,102,3.4
2006,1,7,0,1,1,4,78,71,2.9
2006,1,7,0,1,1,4,97,92,3
2006,1,7,0,1,1,4,68,48,3.5
2006,1,7,0,1,1,4,61,61,4.1
2006,1,7,0,1,1,4,130,125,3.8
2006,1,7,0,1,1,4,116,110,3.5
2006,1,8,0,1,1,4,92,87,3.2
2006,1,8,0,1,1,4,84,84,4.4
2006,1,8,0,1,1,4,75,55,3.5
2006,1,8,0,1,1,4,37,37,5.1
2006,1,8,0,1,1,4,55,55,5.4
2006,1,8,0,1,1,4,100,96,3.4
2006,1,8,0,1,1,4,110,102,4.2
2006,1,8,0,1,1,4,82,58,3.5
2006,1,8,0,1,1,4,55,55,4.4
2006,1,8,0,1,1,4,83,72,2.6
2006,1,8,0,1,1,4,104,99,3.6
2006,1,8,0,1,1,4,110,102,4
2006,1,8,0,1,1,4,68,68,4.1
2006,1,8,0,1,1,4,120,117,3.7
2006,1,8,0,1,1,4,90,78,3.9
2006,1,8,0,1,1,4,99,86,3.8
2006,1,8,0,1,1,4,105,103,4.6
2006,1,8,0,1,1,4,77,75,2.6
2006,1,8,0,1,1,4,108,106,4.1
2006,1,8,0,1,1,4,99,96,2.7
2006,1,8,0,1,1,4,107,96,3.5
2006,1,8,0,1,1,4,107,101,3.5
2006,1,8,0,1,1,4,98,85,3.5
2006,1,8,0,1,1,4,118,99,3.5
2006,1,8,0,1,1,4,74,74,4.3
2006,1,8,0,1,1,4,119,115,3.6
2006,1,8,0,1,1,4,103,96,2.9
2006,1,8,0,1,1,4,50,50,4.6
2006,1,8,0,1,1,4,116,105,3.5
2006,1,8,0,1,1,4,122,115,3.3
2006,2,1,1,0,0,1,97,61,3.1
2006,2,1,1,0,0,1,88,71,2.8
2006,2,1,1,0,0,1,67,66,3.8
2006,2,1,1,0,0,1,120,102,3.5
2006,2,1,1,0,0,1,109,100,3.4
2006,2,1,1,0,0,1,113,109,3.9
2006,2,1,1,0,0,1,106,85,3.5
2006,2,1,1,0,0,1,108,91,3.8
2006,2,1,1,0,0,1,40,40,4.2
2006,2,1,1,0,0,1,41,41,5.1
2006,2,1,1,0,0,1,40,40,4.4
2006,2,1,1,0,0,1,46,46,4.1
2006,2,1,1,0,0,1,108,94,3.3
2006,2,1,1,0,0,1,92,75,3.1
2006,2,1,1,0,0,1,57,57,3.8
2006,2,1,1,0,0,1,93,92,4.7
2006,2,1,1,0,0,1,107,87,3.7
2006,2,1,1,0,0,1,56,46,3.8
2006,2,1,1,0,0,1,68,68,4
2006,2,1,1,0,0,1,90,86,3.3
2006,2,1,1,0,0,1,52,52,3.5
2006,2,1,1,0,0,1,94,67,4.1
2006,2,1,1,0,0,1,88,83,3.6
2006,2,1,1,0,0,1,64,64,3.5
2006,2,1,1,0,0,1,80,80,3.8
2006,2,1,1,0,0,1,97,85,3.7
2006,2,1,1,0,0,1,73,73,3.8
2006,2,1,1,0,0,1,80,80,4.1
2006,2,1,1,0,0,1,95,86,4.1
2006,2,1,1,0,0,1,63,61,2.7
2006,2,1,1,0,0,1,62,58,2.5
2006,2,1,1,0,0,1,65,65,3.4
2006,2,1,1,0,0,1,99,90,4.1
2006,2,1,1,0,0,1,80,58,3.5
2006,2,1,1,0,0,1,94,67,4
2006,2,1,1,0,0,1,63,63,3.7
2006,2,2,1,0,0,1,102,96,3
2006,2,2,1,0,0,1,88,86,3.3
2006,2,2,1,0,0,1,123,113,3.7
2006,2,2,1,0,0,1,112,102,4
2006,2,2,1,0,0,1,87,79,3
2006,2,2,1,0,0,1,87,76,3.1
2006,2,2,1,0,0,1,116,109,3.9
2006,2,2,1,0,0,1,122,116,4.3
2006,2,2,1,0,0,1,80,75,3.5
2006,2,2,1,0,0,1,91,83,4.3
2006,2,2,1,0,0,1,109,100,3.6
2006,2,2,1,0,0,1,106,103,3.7
2006,2,2,1,0,0,1,102,96,3.4
2006,2,2,1,0,0,1,102,97,3.4
2006,2,2,1,0,0,1,123,108,4.1
2006,2,2,1,0,0,1,88,80,2.8
2006,2,2,1,0,0,1,102,95,3.3
2006,2,2,1,0,0,1,111,106,3.8
2006,2,2,1,0,0,1,68,54,3
2006,2,2,1,0,0,1,104,97,3.3
2006,2,2,1,0,0,1,121,113,3.6
2006,2,2,1,0,0,1,55,55,3.9
2006,2,2,1,0,0,1,56,56,4.2
2006,2,2,1,0,0,1,53,53,4.2
2006,2,2,1,0,0,1,97,96,4.2
2006,2,2,1,0,0,1,108,88,4.5
2006,2,2,1,0,0,1,120,115,3.8
2006,2,2,1,0,0,1,83,79,2.9
2006,2,2,1,0,0,1,118,108,4.1
2006,2,2,1,0,0,1,121,114,4
2006,2,2,1,0,0,1,135,125,4.5
2006,2,2,1,0,0,1,101,96,3.6
2006,2,2,1,0,0,1,130,123,4
2006,2,2,1,0,0,1,105,100,3.3
2006,2,2,1,0,0,1,97,86,3.8
2006,2,3,1,0,0,1,109,100,3.4
2006,2,3,1,0,0,1,110,103,3.9
2006,2,3,1,0,0,1,80,80,5.3
2006,2,3,1,0,0,1,126,120,3.3
2006,2,3,1,0,0,1,112,107,4.5
2006,2,3,1,0,0,1,81,81,5
2006,2,3,1,0,0,1,102,96,4.2
2006,2,3,1,0,0,1,112,108,4
2006,2,3,1,0,0,1,110,97,3.5
2006,2,3,1,0,0,1,127,126,5
2006,2,3,1,0,0,1,86,86,5
2006,2,3,1,0,0,1,90,90,4.5
2006,2,3,1,0,0,1,120,113,3.8
2006,2,3,1,0,0,1,84,76,2.6
2006,2,3,1,0,0,1,85,54,4.6
2006,2,3,1,0,0,1,111,105,3
2006,2,3,1,0,0,1,128,120,3.5
2006,2,3,1,0,0,1,135,120,4
2006,2,3,1,0,0,1,111,110,3.3
2006,2,3,1,0,0,1,100,98,3.9
2006,2,3,1,0,0,1,74,72,4
2006,2,3,1,0,0,1,118,113,3.9
2006,2,3,1,0,0,1,130,123,4.2
2006,2,3,1,0,0,1,95,92,4.3
2006,2,3,1,0,0,1,105,101,3.1
2006,2,3,1,0,0,1,125,124,4
2006,2,3,1,0,0,1,120,115,3.6
2006,2,3,1,0,0,1,110,65,2.5
2006,2,3,1,0,0,1,113,105,3.8
2006,2,3,1,0,0,1,123,105,3.7
2006,2,3,1,0,0,1,92,82,3.2
2006,2,3,1,0,0,1,90,87,2.5
2006,2,3,1,0,0,1,125,100,2.9
2006,2,3,1,0,0,1,122,120,3
2006,2,3,1,0,0,1,125,123,4.1
2006,2,3,1,0,0,1,134,129,4.4
2006,2,3,1,0,0,1,105,100,3
2006,2,3,1,0,0,1,123,120,4.5
2006,2,3,1,0,0,1,116,105,4
2006,2,3,1,0,0,1,72,72,4.8
2006,2,3,1,0,0,1,112,109,3
2006,2,3,1,0,0,1,131,126,3.5
2006,2,3,1,0,0,1,75,50,3.5
2006,2,3,1,0,0,1,118,108,3.1
2006,2,3,1,0,0,1,110,105,3.2
2006,2,3,1,0,0,1,109,101,4
2006,2,4,1,0,0,1,121,116,4
2006,2,4,1,0,0,1,106,104,3.7
2006,2,4,1,0,0,1,93,90,3.3
2006,2,4,1,0,0,1,73,73,4
2006,2,4,1,0,0,1,89,84,2.1
2006,2,4,1,0,0,1,86,84,3.2
2006,2,4,1,0,0,1,71,71,4.4
2006,2,4,1,0,0,1,78,76,3.4
2006,2,4,1,0,0,1,89,0,2.9
2006,2,4,1,0,0,1,79,76,2.7
2006,2,4,1,0,0,1,80,57,2.7
2006,2,4,1,0,0,1,64,64,3.6
2006,2,4,1,0,0,1,104,0,3.2
2006,2,4,1,0,0,1,86,84,3.4
2006,2,4,1,0,0,1,80,75,3.6
2006,2,4,1,0,0,1,103,95,3.4
2006,2,4,1,0,0,1,59,59,3.4
2006,2,4,1,0,0,1,113,110,4.7
2006,2,4,1,0,0,1,107,98,4.1
2006,2,4,1,0,0,1,90,90,4.6
2006,2,4,1,0,0,1,92,70,3.9
2006,2,4,1,0,0,1,80,80,4.4
2006,2,4,1,0,0,1,93,92,4.9
2006,2,4,1,0,0,1,55,55,5
2006,2,4,1,0,0,1,38,38,5.2
2006,2,4,1,0,0,1,103,97,4.5
2006,2,4,1,0,0,1,113,110,3.9
2006,2,4,1,0,0,1,103,94,4.3
2006,2,4,1,0,0,1,96,89,2.2
2006,2,4,1,0,0,1,55,48,2
2006,2,4,1,0,0,1,30,29,4.4
2006,2,5,1,0,0,1,70,60,3.4
2006,2,5,1,0,0,1,108,103,4.2
2006,2,5,1,0,0,1,108,94,3.9
2006,2,5,1,0,0,1,91,73,2.5
2006,2,5,1,0,0,1,72,69,3.2
2006,2,5,1,0,0,1,113,105,3.8
2006,2,5,1,0,0,1,92,83,3.7
2006,2,5,1,0,0,1,85,85,3.7
2006,2,5,1,0,0,1,106,100,4
2006,2,5,1,0,0,1,101,80,3.8
2006,2,5,1,0,0,1,82,0,3.7
2006,2,5,1,0,0,1,76,69,4.7
2006,2,5,1,0,0,1,106,89,3.7
2006,2,5,1,0,0,1,76,76,4.2
2006,2,5,1,0,0,1,97,82,3.1
2006,2,5,1,0,0,1,110,105,4.7
2006,2,5,1,0,0,1,82,81,4.7
2006,2,5,1,0,0,1,90,79,4.3
2006,2,5,1,0,0,1,61,61,4.4
2006,2,5,1,0,0,1,65,65,4.2
2006,2,5,1,0,0,1,111,108,4
2006,2,5,1,0,0,1,98,81,3.1
2006,2,5,1,0,0,1,94,90,3.7
2006,2,5,1,0,0,1,80,72,3.1
2006,2,5,1,0,0,1,109,98,3.6
2006,2,5,1,0,0,1,99,94,3.3
2006,2,5,1,0,0,1,93,87,4.3
2006,2,5,1,0,0,1,88,83,3.6
2006,2,5,1,0,0,1,103,99,4
2006,2,5,1,0,0,1,95,89,3.7
2006,2,5,1,0,0,1,92,88,4.3
2006,2,5,1,0,0,1,104,97,3.8
2006,2,5,1,0,0,1,98,83,4.9
2006,2,5,1,0,0,1,57,57,4.3
2006,2,5,1,0,0,1,32,32,3.8
2006,2,6,1,0,0,1,121,118,3.4
2006,2,6,1,0,0,1,104,76,4.2
2006,2,6,1,0,0,1,113,107,4.1
2006,2,6,1,0,0,1,63,63,4.6
2006,2,6,1,0,0,1,48,47,4.1
2006,2,6,1,0,0,1,46,45,3
2006,2,6,1,0,0,1,38,38,3.7
2006,2,6,1,0,0,1,78,75,2.9
2006,2,6,1,0,0,1,82,80,4.5
2006,2,6,1,0,0,1,60,58,3
2006,2,6,1,0,0,1,107,103,3.9
2006,2,6,1,0,0,1,94,87,3.2
2006,2,6,1,0,0,1,69,59,2.9
2006,2,6,1,0,0,1,96,89,3.7
2006,2,6,1,0,0,1,59,38,3.5
2006,2,6,1,0,0,1,45,45,3.7
2006,2,6,1,0,0,1,81,75,2.2
2006,2,6,1,0,0,1,79,76,2.5
2006,2,6,1,0,0,1,93,89,2.5
2006,2,6,1,0,0,1,77,71,3.4
2006,2,6,1,0,0,1,85,83,2.3
2006,2,6,1,0,0,1,35,35,4.5
2006,2,6,1,0,0,1,106,100,2.7
2006,2,6,1,0,0,1,99,77,2.7
2006,2,6,1,0,0,1,93,86,3.1
