Year,Chamber,Quadrat,In_Out,CO2,Nitrogen,Treatment,Total_Height,Green_Height,Width,Total_Mass
2007,17,-99,1,0,0,1,109,96,3.7,1.1327
2007,17,-99,0,0,0,1,104,83,4,1.002
2007,17,-99,0,0,0,1,93,91,3.3,0.7156
2007,1,-99,1,1,1,4,103,100,3.6,0.9903
2007,1,-99,1,1,1,4,111,110,4.7,1.6048
2007,1,-99,1,1,1,4,129,123,3.5,1.308
2007,1,-99,0,1,1,4,106,101,3.8,1.0277
2007,1,-99,0,1,1,4,82,81,4.2,0.97
2007,2,-99,1,0,0,1,75,74,3.5,0.7338
2007,2,-99,1,0,0,1,115,102,3.7,1.136
2007,2,-99,1,0,0,1,135,127,3.5,1.4527
2007,2,-99,0,0,0,1,67,66,3.7,0.5926
2007,2,-99,0,0,0,1,122,105,3.8,1.1974
2007,3,-99,1,1,0,3,122,118,3.8,1.1936
2007,3,-99,1,1,0,3,138,129,3.7,1.3791
2007,3,-99,1,1,0,3,78,77,4.2,0.8591
2007,3,-99,0,1,0,3,131,120,4.3,1.6179
2007,3,-99,0,1,0,3,78,77,4,0.8163
2007,4,-99,1,0,1,2,140,136,4.3,1.88
2007,4,-99,1,0,1,2,138,135,3.8,1.5194
2007,4,-99,1,0,1,2,56,55,3.9,0.4849
2007,4,-99,0,0,1,2,117,105,4.1,1.2135
2007,4,-99,0,0,1,2,64,64,4.8,0.9825
2008,1,-99,1,1,1,4,75,75,4.1,0.88
2008,1,-99,1,1,1,4,138,110,3.6,1.49
2008,1,-99,1,1,1,4,103,103,4.6,1.19
2008,2,-99,1,0,0,1,125,123,4.2,1.75
2008,2,-99,1,0,0,1,103,100,3.9,1.2
2008,2,-99,1,0,0,1,98,80,2.9,0.76
2008,3,-99,1,1,0,3,51,51,4.3,0.66
2008,3,-99,1,1,0,3,138,122,3.6,1.33
2008,3,-99,1,1,0,3,131,110,3.1,1.08
2008,4,-99,1,0,1,2,148,132,4.2,2.14
2008,4,-99,1,0,1,2,90,89,3.1,0.76
2008,4,-99,1,0,1,2,116,114,3.7,1.24
2008,5,-99,1,1,1,4,130,128,4.5,1.87
2008,5,-99,1,1,1,4,73,73,3.5,0.63
2008,5,-99,1,1,1,4,170,154,4.7,2.48
2008,6,-99,1,0,0,1,84,84,4.4,1.07
2008,6,-99,1,0,0,1,111,109,3.6,1.3
2008,6,-99,1,0,0,1,130,109,3.6,1.4
2008,7,-99,1,0,0,1,67,67,3.8,0.69
2008,7,-99,1,0,0,1,135,116,3.3,1.41
2008,7,-99,1,0,0,1,111,110,3.5,1.19
2008,8,-99,1,1,0,3,63,63,3.4,0.56
2008,8,-99,1,1,0,3,127,113,3.9,1.64
2008,8,-99,1,1,0,3,103,85,3.3,0.89
2008,9,-99,1,1,0,3,120,120,3.5,1.27
2008,9,-99,1,1,0,3,121,118,3.8,1.42
2008,9,-99,1,1,0,3,74,74,3.8,1.07
2008,10,-99,1,0,1,2,108,107,3.8,1.24
2008,10,-99,1,0,1,2,92,92,3.8,1.02
2008,10,-99,1,0,1,2,71,69,3.5,0.56
2008,11,-99,1,0,1,2,133,132,3.8,1.61
2008,11,-99,1,0,1,2,49,49,3.6,0.42
2008,11,-99,1,0,1,2,91,90,4,1.07
2008,12,-99,1,1,1,4,45,45,3.6,0.43
2008,12,-99,1,1,1,4,135,120,3.3,1.33
2008,12,-99,1,1,1,4,125,119,4.2,1.67
2008,13,-99,1,1,0,3,87,77,2.8,0.63
2008,13,-99,1,1,0,3,117,101,3.8,1.45
2008,13,-99,1,1,0,3,93,90,2.8,0.74
2008,14,-99,1,0,1,2,115,95,3.9,1.21
2008,14,-99,1,0,1,2,116,106,3.5,1.21
2008,14,-99,1,0,1,2,87,87,3.5,0.93
2008,15,-99,1,1,1,4,80,80,4.5,1.05
2008,15,-99,1,1,1,4,115,114,4.8,1.7
2008,15,-99,1,1,1,4,155,133,4.3,2.11
2008,16,-99,1,0,0,1,103,100,3.1,0.77
2008,16,-99,1,0,0,1,70,68,3.8,0.69
2008,16,-99,1,0,0,1,124,101,3.7,1.28
2008,17,-99,1,0,0,1,72,70,4.2,0.84
2008,17,-99,1,0,0,1,107,101,3.3,0.97
2008,17,-99,1,0,0,1,115,113,4.5,1.82
2008,18,-99,1,1,1,4,154,129,4.2,2.07
2008,18,-99,1,1,1,4,100,82,3.3,0.86
2008,18,-99,1,1,1,4,112,111,3.6,1.32
2008,19,-99,1,1,0,3,127,125,4.4,2.16
2008,19,-99,1,1,0,3,111,109,3.3,1.06
2008,19,-99,1,1,0,3,70,70,4.3,1.02
2008,20,-99,1,0,1,2,120,118,4,1.49
2008,20,-99,1,0,1,2,100,98,3.3,0.76
2008,20,-99,1,0,1,2,53,53,3.4,0.44
