Year,Chamber,CO2,Nitrogen,Block,Treatment,Location,Species,FC,C,F13C,13C,FN,N,F15N,15N
2007,4,0,1,4,2,B,SC,0,40.08087152,0,-26.367759,0,1.671479665,0,92.1094
2007,5,1,1,4,4,B,SC,0,39.442,0,-38.609904,0,1.365795083,0,121.409
2007,6,0,0,3,1,B,SC,0,40.36752063,0,-26.368684,0,1.155464948,0,209.457
2007,6,0,0,3,1,C,SC,0,40.2,0,-27.21,0,1.29,0,3.77
2007,7,0,0,1,1,B,SC,0,40.54131737,0,-25.908036,0,1.294109126,0,161.968
2007,8,1,0,1,3,B,SC,0,41.64006205,0,-37.192291,0,1.067533811,0,171.789
2007,8,1,0,1,3,B,SC,0,41.71373045,0,-37.146139,0,1.043880451,0,166.242
2007,9,1,0,4,3,B,SC,0,41.67386592,0,-39.481776,0,1.09582212,0,192.946
2007,9,1,0,4,3,C,SC,0,40.55,0,-26.7,0,1.36,0,2.59
2007,10,0,1,3,2,B,SC,0,40.91894994,0,-26.231799,0,1.537484494,0,136.819
2007,11,0,1,2,2,B,SC,0,41.6654994,0,-26.002424,0,1.476265973,0,176.523
2007,12,1,1,2,4,B,SC,0,41.51602966,0,-39.119384,0,1.343127477,0,146.067
2007,13,1,0,2,3,B,SC,0,42.32704702,0,-38.017659,0,1.085488016,0,244.045
2007,13,1,0,2,3,C,SC,0,40.25,0,-26.96,0,1.38,0,3.38
2007,14,0,1,1,2,B,SC,0,40.28685175,0,-26.410284,0,1.483934889,0,88.6028
2007,15,1,1,3,4,B,SC,0,40.99489405,0,-38.748291,0,1.564457971,0,110.568
2007,16,0,0,5,1,B,SC,0,40.48318373,0,-25.902631,0,1.298008281,0,153.261
2007,17,0,0,4,1,B,SC,0,41.01125195,0,-25.624271,0,1.285693604,0,206.877
2007,17,0,0,4,1,C,SC,0,40.73,0,-25.87,0,1.02,0,22.89
2007,18,1,1,5,4,B,SC,0,41.48569193,0,-37.993771,0,1.220244263,0,117.865
2007,19,1,0,5,3,B,SC,0,41.56702885,0,-37.155744,0,0.889281641,0,158.316
2007,19,1,0,5,3,B,SC,0,41.19130657,0,-37.541775,0,0.921001151,0,173.461
2007,20,0,1,5,2,B,SC,0,41.43965873,0,-26.482631,0,1.449427587,0,78.001
2007,1,1,1,1,4,B,SP,0,42.29666734,0,-27.131624,0,1.372465611,0,79.336
2007,2,0,0,2,1,B,SP,0,42.47763158,0,-14.425325,0,0.566586511,0,373.923
2007,3,1,0,3,3,B,SP,0,42.39399079,0,-27.6904,0,0.690839992,0,395.867
2007,4,0,1,4,2,B,SP,0,42.70562988,0,-14.555651,0,1.312431699,0,61.3693
2007,5,1,1,4,4,B,SP,0,37.93484171,0,-14.648611,0,1.0295049,0,70.3846
2007,10,0,1,3,2,B,SP,0,49.51219907,0,-27.937864,0,1.55931576,0,65.7695
2007,11,0,1,2,2,B,SP,0,42.79017857,0,-14.182975,0,1.581823557,0,96.0893
2007,12,1,1,2,4,B,SP,0,41.70609375,0,-28.285299,0,1.671045714,0,137.358
2007,13,1,0,2,3,B,SP,0,43.89012739,0,-27.381675,0,0.670643848,0,238.819
2007,14,0,1,1,2,B,SP,0,42.17427277,0,-14.304025,0,1.55232389,0,62.7546
2007,15,1,1,3,4,B,SP,0,43.60935321,0,-27.593239,0,1.547359668,0,55.6191
2007,20,0,1,5,2,B,SP,0,43.180327,0,-14.181471,0,1.424811359,0,54.9426
2008,1,1,1,1,4,B,SC,0,42.11614263,0,-37.10965668,0,1.11230731,0,66.81692611
2008,2,0,0,2,1,B,SC,0,40.2962946,0,-27.01913474,0,1.042210298,0,128.4922776
2008,2,0,0,2,1,C,SC,0,41.59410245,0,-26.1472611,0,1.292593151,0,3.251090093
2008,3,1,0,3,3,B,SC,0,42.54620789,0,-36.66757591,0,1.052892205,0,113.7907772
2008,4,0,1,4,2,B,SC,0,40.91059708,0,-26.40512247,0,1.426709386,0,64.21231089
2008,5,1,1,4,4,B,SC,0,42.15943106,0,-37.12294595,0,1.068147222,0,46.3103527
2008,5,1,1,4,4,C,SC,0,41.17731244,0,-26.0613652,0,1.104748504,0,2.538574893
2008,6,0,0,3,1,B,SC,0,41.55603812,0,-25.92014608,0,1.170398597,0,108.1135691
2008,7,0,0,1,1,B,SC,0,41.10688128,0,-26.75310158,0,1.443700075,0,119.1390877
2008,8,1,0,1,3,B,SC,0,42.42897368,0,-36.98286765,0,1.270840729,0,129.808907
2008,9,1,0,4,3,B,SC,0,42.72494378,0,-37.02328616,0,1.054270637,0,143.7714464
2008,9,1,0,4,3,C,SC,0,42.0804676,0,-26.81230752,0,1.409169779,0,0.04480098
2008,10,0,1,3,2,B,SC,0,40.43001139,0,-26.39452404,0,1.204435439,0,108.9911897
2008,10,0,1,3,2,C,SC,0,42.99163175,0,-25.58447454,0,1.416388444,0,1.634234034
2008,10,0,1,3,2,C,SC,0,43.06891265,0,-25.64854081,0,1.369799449,0,0.949131311
2008,11,0,1,2,2,B,SC,0,40.9952792,0,-26.78287272,0,1.21843192,0,99.55706358
2008,12,1,1,2,4,B,SC,0,41.42925825,0,-39.00453509,0,1.320518799,0,55.24733094
2008,12,1,1,2,4,C,SC,0,41.5000421,0,-25.36690374,0,1.23171251,0,1.332788412
2008,13,1,0,2,3,B,SC,0,40.0212338,0,-35.52691233,0,0.922720422,0,166.377876
2008,14,0,1,1,2,B,SC,0,41.94515032,0,-26.348124,0,1.619960688,0,96.29366587
2008,15,1,1,3,4,B,SC,0,42.48859701,0,-38.60924055,0,1.332164885,0,66.7072571
2008,16,0,0,5,1,B,SC,0,41.27036533,0,-25.36457149,0,0.965080243,0,111.1304135
2008,17,0,0,4,1,B,SC,0,41.20766843,0,-25.8988628,0,1.136388164,0,98.13103146
2008,18,1,1,5,4,B,SC,0,41.82172371,0,-36.67296233,0,1.338954953,0,56.75516101
2008,19,1,0,5,3,B,SC,0,41.03362066,0,-36.14914061,0,0.97396828,0,120.8670481
2008,19,1,0,5,3,C,SC,0,40.97424897,0,-26.74400537,0,1.240617256,0,3.662158245
2008,20,0,1,5,2,B,SC,0,41.86899661,0,-27.10109878,0,1.569596549,0,49.90152212
2008,1,1,1,1,4,B,SP,0,40.78991916,0,-25.77848744,0,1.139235723,0,33.81053005
2008,2,0,0,2,1,B,SP,0,43.05833452,0,-14.32483484,0,0.698598516,0,351.292881
2008,4,0,1,4,2,B,SP,0,42.89586271,0,-14.85988059,0,1.268447027,0,28.38333179
2008,5,1,1,4,4,B,SP,0,43.60514206,0,-25.48513967,0,0.803041783,0,39.62170877
2008,5,1,1,4,4,C,SP,0,42.87015829,0,-14.18343525,0,0.800109134,0,0.154416459
2008,9,1,0,4,3,C,SP,0,43.77416228,0,-14.77871893,0,1.130142681,0,1.140959727
2008,10,0,1,3,2,B,SP,0,42.89635053,0,-14.66052573,0,0.801796322,0,48.50342203
2008,10,0,1,3,2,C,SP,0,42.96965899,0,-14.67473436,0,0.854532803,0,-0.06481441
2008,11,0,1,2,2,B,SP,0,43.36076426,0,-13.98691206,0,0.883279051,0,42.0339688
2008,12,1,1,2,4,C,SP,0,41.94288546,0,-14.37214476,0,0.707531145,0,0.839515194
2008,16,0,0,5,1,C,SP,0,42.55959358,0,-14.61052676,0,1.098929712,0,1.442404925
2008,1,1,1,1,4,B,DI,0,43.69534271,0,-27.19,0,1.555929018,0,40.03288644
2008,1,1,1,1,4,C,DI,0,44.17428811,0,-16.38,0,1.076766535,0,1.058747516
2008,11,0,1,2,2,B,DI,0,45.33381111,0,-15.72,0,0.922586029,0,50.75135466
2008,14,0,1,1,2,B,DI,0,43.72148851,0,-15.41,0,1.382575516,0,44.93970225
2008,16,0,0,5,1,B,DI,0,42.71433199,0,-20.25,0,0.741417611,0,1.223171988
2008,20,0,1,5,2,B,DI,0,43.31249691,0,-13.93,0,1.254058492,0,39.37500276
