Year,Chamber,Quadrat,In_Out,CO2,Nitrogen,Treatment,Stem_Count,Quadrat_Area
2006,9,6,1,1,0,3,44,0.09
2006,9,7,0,1,0,3,31,0.09
2006,9,8,0,1,0,3,35,0.09
2006,10,1,1,0,1,2,40,0.09
2006,10,2,1,0,1,2,38,0.09
2006,10,3,1,0,1,2,49,0.09
2006,10,4,1,0,1,2,45,0.09
2006,10,5,1,0,1,2,41,0.09
2006,10,6,1,0,1,2,42,0.09
2006,10,7,0,0,1,2,30,0.09
2006,10,8,0,0,1,2,27,0.09
2006,11,1,1,0,1,2,35,0.09
2006,11,2,1,0,1,2,59,0.09
2006,11,3,1,0,1,2,50,0.09
2006,11,4,1,0,1,2,41,0.09
2006,11,5,1,0,1,2,47,0.09
2006,11,6,1,0,1,2,41,0.09
2006,11,7,0,0,1,2,33,0.09
2006,11,8,0,0,1,2,43,0.09
2006,12,1,1,1,1,4,61,0.09
2006,12,2,1,1,1,4,40,0.09
2006,12,3,1,1,1,4,40,0.09
2006,12,4,1,1,1,4,42,0.09
2006,12,5,1,1,1,4,38,0.09
2006,12,6,1,1,1,4,41,0.09
2006,12,7,0,1,1,4,27,0.09
2006,12,8,0,1,1,4,27,0.09
2006,13,1,1,1,0,3,34,0.09
2006,13,2,1,1,0,3,40,0.09
2006,13,3,1,1,0,3,23,0.09
2006,13,4,1,1,0,3,42,0.09
2006,13,5,1,1,0,3,42,0.09
2006,13,6,1,1,0,3,46,0.09
2006,13,7,0,1,0,3,57,0.09
2006,13,8,0,1,0,3,53,0.09
2006,14,1,1,0,1,2,54,0.09
2006,14,2,1,0,1,2,40,0.09
2006,14,3,1,0,1,2,40,0.09
2006,14,4,1,0,1,2,50,0.09
2006,14,5,1,0,1,2,52,0.09
2006,14,6,1,0,1,2,36,0.09
2006,14,7,0,0,1,2,48,0.09
2006,14,8,0,0,1,2,40,0.09
2006,15,1,1,1,1,4,34,0.09
2006,15,2,1,1,1,4,48,0.09
2006,15,3,1,1,1,4,43,0.09
2006,15,4,1,1,1,4,49,0.09
2006,15,5,1,1,1,4,65,0.09
2006,15,6,1,1,1,4,44,0.09
2006,15,7,0,1,1,4,48,0.09
2006,15,8,0,1,1,4,38,0.09
2006,16,1,1,0,0,1,35,0.09
2006,16,2,1,0,0,1,54,0.09
2006,16,3,1,0,0,1,33,0.09
2006,16,4,1,0,0,1,45,0.09
2006,16,5,1,0,0,1,43,0.09
2006,16,6,1,0,0,1,49,0.09
2006,16,7,0,0,0,1,31,0.09
2006,16,8,0,0,0,1,27,0.09
2006,17,1,1,0,0,1,46,0.09
2006,17,2,1,0,0,1,34,0.09
2006,17,3,1,0,0,1,64,0.09
2006,17,4,1,0,0,1,55,0.09
2006,17,5,1,0,0,1,42,0.09
2006,17,6,1,0,0,1,40,0.09
2006,17,7,0,0,0,1,45,0.09
2006,17,8,0,0,0,1,44,0.09
2006,18,1,1,1,1,4,51,0.09
2006,18,2,1,1,1,4,59,0.09
2006,18,3,1,1,1,4,70,0.09
2006,18,4,1,1,1,4,63,0.09
2006,18,5,1,1,1,4,51,0.09
2006,18,6,1,1,1,4,47,0.09
2006,18,7,0,1,1,4,50,0.09
2006,18,8,0,1,1,4,54,0.09
2006,19,1,1,1,0,3,32,0.09
2006,19,2,1,1,0,3,34,0.09
2006,19,3,1,1,0,3,28,0.09
2006,19,4,1,1,0,3,42,0.09
2006,19,5,1,1,0,3,28,0.09
2006,19,6,1,1,0,3,58,0.09
2006,19,7,0,1,0,3,43,0.09
2006,19,8,0,1,0,3,54,0.09
2006,20,1,1,0,1,2,25,0.09
2006,20,2,1,0,1,2,35,0.09
2006,20,3,1,0,1,2,16,0.09
2006,20,4,1,0,1,2,34,0.09
2006,20,5,1,0,1,2,33,0.09
2006,20,6,1,0,1,2,19,0.09
2006,20,7,0,0,1,2,28,0.09
2006,20,8,0,0,1,2,22,0.09
2007,1,1,1,1,1,4,23,0.09
2007,1,2,1,1,1,4,30,0.09
2007,1,3,1,1,1,4,59,0.09
2007,1,4,1,1,1,4,53,0.09
2007,1,5,1,1,1,4,52,0.09
2007,1,6,1,1,1,4,66,0.09
2007,1,7,0,1,1,4,38,0.09
2007,1,8,0,1,1,4,29,0.09
2007,2,1,1,0,0,1,32,0.09
2007,2,2,1,0,0,1,40,0.09
2007,2,3,1,0,0,1,30,0.09
2007,2,4,1,0,0,1,35,0.09
2007,2,5,1,0,0,1,42,0.09
2007,2,6,1,0,0,1,33,0.09
2007,2,7,0,0,0,1,50,0.09
2007,2,8,0,0,0,1,27,0.09
2007,3,1,1,1,0,3,48,0.09
2007,3,2,1,1,0,3,51,0.09
2007,3,3,1,1,0,3,40,0.09
2007,3,4,1,1,0,3,37,0.09
2007,3,5,1,1,0,3,63,0.09
2007,3,6,1,1,0,3,59,0.09
2007,3,7,0,1,0,3,60,0.09
2007,3,8,0,1,0,3,34,0.09
2007,4,1,1,0,1,2,44,0.09
2007,4,2,1,0,1,2,31,0.09
2007,4,3,1,0,1,2,43,0.09
2007,4,4,1,0,1,2,47,0.09
2007,4,5,1,0,1,2,45,0.09
2007,4,6,1,0,1,2,43,0.09
2007,4,7,0,0,1,2,58,0.09
2007,4,8,0,0,1,2,36,0.09
2007,5,1,1,1,1,4,68,0.09
2007,5,2,1,1,1,4,71,0.09
2007,5,3,1,1,1,4,50,0.09
2007,5,4,1,1,1,4,51,0.09
2007,5,5,1,1,1,4,58,0.09
2007,5,6,1,1,1,4,44,0.09
2007,5,7,0,1,1,4,41,0.09
2007,5,8,0,1,1,4,53,0.09
2007,6,1,1,0,0,1,61,0.09
2007,6,2,1,0,0,1,48,0.09
2007,6,3,1,0,0,1,59,0.09
2007,6,4,1,0,0,1,49,0.09
2007,6,5,1,0,0,1,48,0.09
2007,6,6,1,0,0,1,50,0.09
2007,6,7,0,0,0,1,34,0.09
2007,6,8,0,0,0,1,45,0.09
2007,7,1,1,0,0,1,33,0.09
2007,7,2,1,0,0,1,37,0.09
2007,7,3,1,0,0,1,31,0.09
2007,7,4,1,0,0,1,33,0.09
2007,7,5,1,0,0,1,52,0.09
2007,7,6,1,0,0,1,61,0.09
2007,7,7,0,0,0,1,50,0.09
2007,7,8,0,0,0,1,42,0.09
2007,8,1,1,1,0,3,45,0.09
2007,8,2,1,1,0,3,39,0.09
2007,8,3,1,1,0,3,42,0.09
2007,8,4,1,1,0,3,43,0.09
2007,8,5,1,1,0,3,39,0.09
2007,8,6,1,1,0,3,46,0.09
2007,8,7,0,1,0,3,44,0.09
2007,8,8,0,1,0,3,51,0.09
2007,9,1,1,1,0,3,54,0.09
2007,9,2,1,1,0,3,46,0.09
2007,9,3,1,1,0,3,46,0.09
2007,9,4,1,1,0,3,42,0.09
2007,9,5,1,1,0,3,36,0.09
2007,9,6,1,1,0,3,52,0.09
2007,9,7,0,1,0,3,47,0.09
2007,9,8,0,1,0,3,44,0.09
2007,10,1,1,0,1,2,38,0.09
2007,10,2,1,0,1,2,34,0.09
2007,10,3,1,0,1,2,44,0.09
2007,10,4,1,0,1,2,50,0.09
2007,10,5,1,0,1,2,67,0.09
2007,10,6,1,0,1,2,43,0.09
2007,10,7,0,0,1,2,29,0.09
2007,10,8,0,0,1,2,42,0.09
2007,11,1,1,0,1,2,37,0.09
2007,11,2,1,0,1,2,38,0.09
2007,11,3,1,0,1,2,52,0.09
2007,11,4,1,0,1,2,31,0.09
2007,11,5,1,0,1,2,46,0.09
2007,11,6,1,0,1,2,34,0.09
2007,11,7,0,0,1,2,45,0.09
2007,11,8,0,0,1,2,68,0.09
2007,12,1,1,1,1,4,42,0.09
2007,12,2,1,1,1,4,50,0.09
2007,12,3,1,1,1,4,37,0.09
2007,12,4,1,1,1,4,73,0.09
2007,12,5,1,1,1,4,73,0.09
2007,12,6,1,1,1,4,67,0.09
2007,12,7,0,1,1,4,30,0.09
2007,12,8,0,1,1,4,55,0.09
2007,13,1,1,1,0,3,36,0.09
2007,13,2,1,1,0,3,39,0.09
2007,13,3,1,1,0,3,39,0.09
2007,13,4,1,1,0,3,40,0.09
2007,13,5,1,1,0,3,60,0.09
2007,13,6,1,1,0,3,50,0.09
2007,13,7,0,1,0,3,53,0.09
2007,13,8,0,1,0,3,43,0.09
2007,14,1,1,0,1,2,50,0.09
2007,14,2,1,0,1,2,32,0.09
2007,14,3,1,0,1,2,45,0.09
2007,14,4,1,0,1,2,35,0.09
2007,14,5,1,0,1,2,40,0.09
2007,14,6,1,0,1,2,37,0.09
2007,14,7,0,0,1,2,35,0.09
2007,14,8,0,0,1,2,52,0.09
2007,15,1,1,1,1,4,66,0.09
2007,15,2,1,1,1,4,65,0.09
2007,15,3,1,1,1,4,60,0.09
2007,15,4,1,1,1,4,59,0.09
2007,15,5,1,1,1,4,74,0.09
2007,15,6,1,1,1,4,63,0.09
2007,15,7,0,1,1,4,61,0.09
2007,15,8,0,1,1,4,49,0.09
2007,16,1,1,0,0,1,51,0.09
2007,16,2,1,0,0,1,45,0.09
2007,16,3,1,0,0,1,55,0.09
2007,16,4,1,0,0,1,48,0.09
2007,16,5,1,0,0,1,40,0.09
2007,16,6,1,0,0,1,56,0.09
2007,16,7,0,0,0,1,35,0.09
2007,16,8,0,0,0,1,42,0.09
2007,17,1,1,0,0,1,75,0.09
2007,17,2,1,0,0,1,49,0.09
2007,17,3,1,0,0,1,45,0.09
2007,17,4,1,0,0,1,34,0.09
2007,17,5,1,0,0,1,75,0.09
2007,17,6,1,0,0,1,50,0.09
2007,17,7,0,0,0,1,44,0.09
2007,17,8,0,0,0,1,47,0.09
2007,18,1,1,1,1,4,51,0.09
2007,18,2,1,1,1,4,66,0.09
2007,18,3,1,1,1,4,74,0.09
2007,18,4,1,1,1,4,70,0.09
2007,18,5,1,1,1,4,61,0.09
2007,18,6,1,1,1,4,55,0.09
2007,18,7,0,1,1,4,35,0.09
2007,18,8,0,1,1,4,63,0.09
2007,19,1,1,1,0,3,70,0.09
2007,19,2,1,1,0,3,60,0.09
2007,19,3,1,1,0,3,45,0.09
2007,19,4,1,1,0,3,63,0.09
2007,19,5,1,1,0,3,43,0.09
2007,19,6,1,1,0,3,52,0.09
2007,19,7,0,1,0,3,56,0.09
2007,19,8,0,1,0,3,65,0.09
2007,20,1,1,0,1,2,17,0.09
2007,20,2,1,0,1,2,23,0.09
2007,20,3,1,0,1,2,23,0.09
2007,20,4,1,0,1,2,19,0.09
2007,20,5,1,0,1,2,33,0.09
2007,20,6,1,0,1,2,35,0.09
2007,20,7,0,0,1,2,39,0.09
2007,20,8,0,0,1,2,16,0.09
2008,1,1,1,1,1,4,22,0.09
2008,1,2,1,1,1,4,33,0.09
2008,1,3,1,1,1,4,58,0.09
2008,1,4,1,1,1,4,58,0.09
2008,1,5,1,1,1,4,38,0.09
2008,1,6,1,1,1,4,59,0.09
2008,1,7,0,1,1,4,33,0.09
2008,1,8,0,1,1,4,50,0.09
2008,2,1,1,0,0,1,25,0.09
2008,2,2,1,0,0,1,38,0.09
2008,2,3,1,0,0,1,36,0.09
2008,2,4,1,0,0,1,33,0.09
2008,2,5,1,0,0,1,30,0.09
2008,2,6,1,0,0,1,46,0.09
2008,2,7,0,0,0,1,38,0.09
2008,2,8,0,0,0,1,42,0.09
2008,3,1,1,1,0,3,38,0.09
2008,3,2,1,1,0,3,31,0.09
2008,3,3,1,1,0,3,48,0.09
2008,3,4,1,1,0,3,42,0.09
2008,3,5,1,1,0,3,51,0.09
2008,3,6,1,1,0,3,41,0.09
2008,3,7,0,1,0,3,54,0.09
2008,3,8,0,1,0,3,34,0.09
2008,4,1,1,0,1,2,41,0.09
2008,4,2,1,0,1,2,43,0.09
2008,4,3,1,0,1,2,48,0.09
2008,4,4,1,0,1,2,40,0.09
2008,4,5,1,0,1,2,45,0.09
2008,4,6,1,0,1,2,35,0.09
2008,4,7,0,0,1,2,64,0.09
2008,4,8,0,0,1,2,42,0.09
2008,5,1,1,1,1,4,54,0.09
2008,5,2,1,1,1,4,38,0.09
2008,5,3,1,1,1,4,39,0.09
2008,5,4,1,1,1,4,39,0.09
2008,5,5,1,1,1,4,45,0.09
2008,5,6,1,1,1,4,36,0.09
2008,5,7,0,1,1,4,53,0.09
2008,5,8,0,1,1,4,38,0.09
2008,6,1,1,0,0,1,44,0.09
2008,6,2,1,0,0,1,55,0.09
2008,6,3,1,0,0,1,50,0.09
2008,6,4,1,0,0,1,63,0.09
2008,6,5,1,0,0,1,51,0.09
2008,6,6,1,0,0,1,39,0.09
2008,6,7,0,0,0,1,42,0.09
2008,6,8,0,0,0,1,38,0.09
2008,7,1,1,0,0,1,43,0.09
2008,7,2,1,0,0,1,33,0.09
2008,7,3,1,0,0,1,57,0.09
2008,7,4,1,0,0,1,35,0.09
2008,7,5,1,0,0,1,47,0.09
2008,7,6,1,0,0,1,32,0.09
2008,7,7,0,0,0,1,32,0.09
2008,7,8,0,0,0,1,33,0.09
2008,8,1,1,1,0,3,48,0.09
2008,8,2,1,1,0,3,49,0.09
2008,8,3,1,1,0,3,59,0.09
2008,8,4,1,1,0,3,32,0.09
2008,8,5,1,1,0,3,49,0.09
2008,8,6,1,1,0,3,51,0.09
2008,8,7,0,1,0,3,41,0.09
2008,8,8,0,1,0,3,37,0.09
2008,9,1,1,1,0,3,50,0.09
2008,9,2,1,1,0,3,53,0.09
2008,9,3,1,1,0,3,34,0.09
2008,9,4,1,1,0,3,52,0.09
2008,9,5,1,1,0,3,39,0.09
2008,9,6,1,1,0,3,46,0.09
2008,9,7,0,1,0,3,44,0.09
2008,9,8,0,1,0,3,55,0.09
2008,10,1,1,0,1,2,25,0.09
2008,10,2,1,0,1,2,27,0.09
2008,10,3,1,0,1,2,51,0.09
2008,10,4,1,0,1,2,43,0.09
2008,10,5,1,0,1,2,50,0.09
2008,10,6,1,0,1,2,27,0.09
2008,10,7,0,0,1,2,36,0.09
2008,10,8,0,0,1,2,42,0.09
2008,11,1,1,0,1,2,32,0.09
2008,11,2,1,0,1,2,37,0.09
2008,11,3,1,0,1,2,31,0.09
2008,11,4,1,0,1,2,29,0.09
2008,11,5,1,0,1,2,21,0.09
2008,11,6,1,0,1,2,29,0.09
2008,11,7,0,0,1,2,34,0.09
2008,11,8,0,0,1,2,59,0.09
2008,12,1,1,1,1,4,44,0.09
2008,12,2,1,1,1,4,50,0.09
2008,12,3,1,1,1,4,49,0.09
2008,12,4,1,1,1,4,51,0.09
2008,12,5,1,1,1,4,37,0.09
2008,12,6,1,1,1,4,60,0.09
2008,12,7,0,1,1,4,40,0.09
2008,12,8,0,1,1,4,48,0.09
2008,13,1,1,1,0,3,27,0.09
2008,13,2,1,1,0,3,44,0.09
2008,13,3,1,1,0,3,33,0.09
2008,13,4,1,1,0,3,54,0.09
2008,13,5,1,1,0,3,51,0.09
2008,13,6,1,1,0,3,37,0.09
2008,13,7,0,1,0,3,53,0.09
2008,13,8,0,1,0,3,47,0.09
2008,14,1,1,0,1,2,45,0.09
2008,14,2,1,0,1,2,33,0.09
2008,14,3,1,0,1,2,60,0.09
2008,14,4,1,0,1,2,46,0.09
2008,14,5,1,0,1,2,39,0.09
2008,14,6,1,0,1,2,27,0.09
2008,14,7,0,0,1,2,28,0.09
2008,14,8,0,0,1,2,31,0.09
2008,15,1,1,1,1,4,45,0.09
2008,15,2,1,1,1,4,45,0.09
2008,15,3,1,1,1,4,69,0.09
2008,15,4,1,1,1,4,47,0.09
2008,15,5,1,1,1,4,55,0.09
2008,15,6,1,1,1,4,42,0.09
2008,15,7,0,1,1,4,61,0.09
2008,15,8,0,1,1,4,54,0.09
2008,16,1,1,0,0,1,52,0.09
2008,16,2,1,0,0,1,58,0.09
2008,16,3,1,0,0,1,51,0.09
2008,16,4,1,0,0,1,39,0.09
2008,16,5,1,0,0,1,46,0.09
2008,16,6,1,0,0,1,47,0.09
2008,16,7,0,0,0,1,49,0.09
2008,16,8,0,0,0,1,44,0.09
2008,17,1,1,0,0,1,34,0.09
2008,17,2,1,0,0,1,57,0.09
2008,17,3,1,0,0,1,41,0.09
2008,17,4,1,0,0,1,42,0.09
2008,17,5,1,0,0,1,49,0.09
2008,17,6,1,0,0,1,54,0.09
2008,17,7,0,0,0,1,45,0.09
2008,17,8,0,0,0,1,35,0.09
2008,18,1,1,1,1,4,51,0.09
2008,18,2,1,1,1,4,65,0.09
2008,18,3,1,1,1,4,53,0.09
2008,18,4,1,1,1,4,52,0.09
2008,18,5,1,1,1,4,36,0.09
2008,18,6,1,1,1,4,38,0.09
2008,18,7,0,1,1,4,50,0.09
2008,18,8,0,1,1,4,62,0.09
2008,19,1,1,1,0,3,45,0.09
2008,19,2,1,1,0,3,67,0.09
2008,19,3,1,1,0,3,55,0.09
2008,19,4,1,1,0,3,83,0.09
2008,19,5,1,1,0,3,29,0.09
2008,19,6,1,1,0,3,43,0.09
2008,19,7,0,1,0,3,55,0.09
2008,19,8,0,1,0,3,50,0.09
2008,20,1,1,0,1,2,24,0.09
2008,20,2,1,0,1,2,39,0.09
2008,20,3,1,0,1,2,38,0.09
2008,20,4,1,0,1,2,58,0.09
2008,20,5,1,0,1,2,29,0.09
2008,20,6,1,0,1,2,38,0.09
2008,20,7,0,0,1,2,24,0.09
2008,20,8,0,0,1,2,55,0.09
