Year,Chamber,Sample_ID,CO2,Nitrogen,Treatment,Depth,Root_Mass,Coarse_Root_Mass,C3_Rhiz_Mass,C4_Rhiz_Mass,Root_Litter_Mass
2008,16,A,0,0,1,0-30,0.3889,-99,0.2457,0,-99
2008,16,B,0,0,1,0-30,0.1291,-99,0.2803,0,-99
2008,16,C,0,0,1,0-30,0.183,-99,0.1574,0,-99
2008,17,A,0,0,1,0-30,0.3153,-99,0,0,-99
2008,17,B,0,0,1,0-30,0.1855,-99,0,0,-99
2008,17,C,0,0,1,0-30,0.1361,-99,0.2885,0,-99
2008,18,A,1,1,4,0-30,0.2085,-99,0,0.0249,-99
2008,18,B,1,1,4,0-30,0.0618,-99,0,0,-99
2008,18,C,1,1,4,0-30,0.0547,-99,0,0,-99
2008,19,A,1,0,3,0-30,0.2171,-99,0,0,-99
2008,19,B,1,0,3,0-30,0.2528,-99,0,0,-99
2008,19,C,1,0,3,0-30,0.2809,-99,0,0.323,-99
2008,20,A,0,1,2,0-30,0.1783,-99,0,0.1393,-99
2008,20,B,0,1,2,0-30,0.043,-99,0,0,-99
2008,20,C,0,1,2,0-30,0.0094,-99,0,0.0612,-99
